sku,attribute_set,store,,name,base_item,sku_family,type,visibility,visibility_def,simples_skus,packaging_type_rank,packaging_type,package_count,package_piececount,version_number,overall_status_rank,overall_status,specific_status_rank,specific_status,lead_style,product_type,description,frequency_hertz,price,price_piece,min_order_qty,version_description,starting_method,lamp_connection,ballast_factor,lamp_combinations,number_of_lamps,lamp_type,rohs_compliant,energy_star,input_power,input_type,max_voltage_combinations,power_factor,power_factor_value,line_voltage,line_current,min_start_temp,sound_rating,dimming_status,standards,approvals,ul_temp_code,product_patent,length_inches,width_inches,height_inches,mounting,remote_mounting,weight,sku_length,sku_height,sku_width,sku_weight,lamps,successor_item,successor_base_item,successor_item_sku_family,substitute_item,substitute_base_item,substitute_item_product_type,substitute_item_overall_status,substitute_item_specific_status,substitute_item_sku_family,substitute_item_item_lead_style,competitor_cross,external_product_id,case_style,eol
PAV1105FTMV/A,Grouper,default,,PAV1105FTMV /A,PAV1105FTMV,NA,simple,4, Both ,,,,,,2,2,Discontinued,4,Unavailable,Leaded,Electronic,,50-60,0.00, $ -   ,,Leads both ends,,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,120-277,High,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,FHP105,,,,,,,,,,,,,,
PFM13/A,Grouper,default,,PFM13 /A,PFM13,NA,simple,4, Both ,,,,,,3,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,Bottom leads (center),,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,120,NA,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,,,
PFM1327/A,Grouper,default,,PFM1327 /A,PFM1327,NA,simple,3, Searchable ,,,,,,3,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,Bottom leads (center),,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,277,NA,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,,,
3M10250,Grouper,default,,PFM1327 /B,PFM1327,M10250,simple,3, Searchable ,,  5 ,3,1W,1,1,2,Discontinued,2,Limited,Leaded,Magnetic,"POWER FACTOR MOD,277/60     V1",60,13.95, $ 13.95 ,,Leads one end,NA,,,,, CFL , No , No ,  -   ,  -   ,277,NA,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,734832009435,,
3M10251,Grouper,default,,PFM18 /A,PFM18,M10251,simple,4, Both ,,  5 ,3,1W,1,3,2,Discontinued,2,Limited,Leaded,Magnetic,"POWER FACTOR MOD,120/60     V3",60,17.95, $ 17.95 ,,Bottom leads (center),NA,,,,, CFL , No , No ,  -   ,  -   ,120,NA,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,734832009442,,
PFM1827/A,Grouper,default,,PFM1827 /A,PFM1827,NA,simple,4, Both ,,,,,,3,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,Bottom leads (center),,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,277,NA,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,,,
PFM213/A,Grouper,default,,PFM213 /A,PFM213,NA,simple,4, Both ,,,,,,3,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,Bottom leads (center),,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,120,NA,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,,,
PFM21327/A,Grouper,default,,PFM21327 /A,PFM21327,NA,simple,3, Searchable ,,,,,,3,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,Bottom leads (center),,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,277,NA,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,,,
3M10252,Grouper,default,,PFM21327 /B,PFM21327,M10252,simple,3, Searchable ,,  5 ,3,1W,1,1,2,Discontinued,2,Limited,Leaded,Magnetic,"POWER FACTOR MOD,277/60     V1",60,15.95, $ 15.95 ,,Leads one end,NA,,,,, CFL , No , No ,  -   ,  -   ,277,NA,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,734832009459,,
PFM218/A,Grouper,default,,PFM218 /A,PFM218,NA,simple,4, Both ,,,,,,1,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,Leads one end,NA,,,,, CFL , No , No ,  -   , Single ,120,NA,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,,,
